url,path,seo_score,issue_type,issue_severity
https://uof.rt.gw/about/state-authorizations/,/about/state-authorizations/,0.660,SEO_NEEDS_IMPROVEMENT,medium
https://uof.rt.gw/about/state-authorizations/education-programs-state-authorizations/,/about/state-authorizations/education-programs-state-authorizations/,0.580,SEO_LOW,high
https://uof.rt.gw/about/state-authorizations/licensure-program-state-authorizations/,/about/state-authorizations/licensure-program-state-authorizations/,0.580,SEO_LOW,high
https://uof.rt.gw/about/state-authorizations/nursing-state-authorizations/,/about/state-authorizations/nursing-state-authorizations/,0.580,SEO_LOW,high
https://uof.rt.gw/about/state-authorizations/pharmacy-state-authorizations/,/about/state-authorizations/pharmacy-state-authorizations/,0.580,SEO_LOW,high
https://uof.rt.gw/about/university-leadership-university-of-findlay/,/about/university-leadership-university-of-findlay/,,NOT_SCANNED,high
https://uof.rt.gw/academics/,/academics/,0.660,SEO_NEEDS_IMPROVEMENT,medium
https://uof.rt.gw/academics/academic-experience/,/academics/academic-experience/,,NOT_SCANNED,high
https://uof.rt.gw/academics/academic-resources/,/academics/academic-resources/,,NOT_SCANNED,high
https://uof.rt.gw/academics/all-hazards-training-center/,/academics/all-hazards-training-center/,,NOT_SCANNED,high
https://uof.rt.gw/academics/business-humanities/,/academics/business-humanities/,0.660,SEO_NEEDS_IMPROVEMENT,medium
https://uof.rt.gw/academics/business-humanities/acbsp/,/academics/business-humanities/acbsp/,0.660,SEO_NEEDS_IMPROVEMENT,medium
https://uof.rt.gw/academics/business-humanities/accounting/,/academics/business-humanities/accounting/,0.660,SEO_NEEDS_IMPROVEMENT,medium
https://uof.rt.gw/academics/business-humanities/art/,/academics/business-humanities/art/,0.580,SEO_LOW,high
https://uof.rt.gw/academics/business-humanities/art/art-major/,/academics/business-humanities/art/art-major/,0.660,SEO_NEEDS_IMPROVEMENT,medium
https://uof.rt.gw/academics/business-humanities/art/art-management/,/academics/business-humanities/art/art-management/,0.660,SEO_NEEDS_IMPROVEMENT,medium
https://uof.rt.gw/academics/business-humanities/art/childrens-book-illustration/,/academics/business-humanities/art/childrens-book-illustration/,0.660,SEO_NEEDS_IMPROVEMENT,medium
https://uof.rt.gw/academics/business-humanities/art/graphic-design/,/academics/business-humanities/art/graphic-design/,0.660,SEO_NEEDS_IMPROVEMENT,medium
https://uof.rt.gw/academics/business-humanities/art/orchestra/,/academics/business-humanities/art/orchestra/,0.580,SEO_LOW,high
https://uof.rt.gw/academics/business-humanities/art/performing-arts/,/academics/business-humanities/art/performing-arts/,0.660,SEO_NEEDS_IMPROVEMENT,medium
https://uof.rt.gw/academics/business-humanities/art/theatre/,/academics/business-humanities/art/theatre/,0.660,SEO_NEEDS_IMPROVEMENT,medium
https://uof.rt.gw/academics/business-humanities/behavioral-sciences/,/academics/business-humanities/behavioral-sciences/,,NOT_SCANNED,high
https://uof.rt.gw/academics/business-humanities/behavioral-sciences/political-science/,/academics/business-humanities/behavioral-sciences/political-science/,,NOT_SCANNED,high
https://uof.rt.gw/academics/business-humanities/behavioral-sciences/psychology/,/academics/business-humanities/behavioral-sciences/psychology/,0.660,SEO_NEEDS_IMPROVEMENT,medium
https://uof.rt.gw/academics/business-humanities/brite-center/,/academics/business-humanities/brite-center/,0.580,SEO_LOW,high
https://uof.rt.gw/academics/business-humanities/business-analytics/,/academics/business-humanities/business-analytics/,0.580,SEO_LOW,high
https://uof.rt.gw/academics/business-humanities/business-management/,/academics/business-humanities/business-management/,0.660,SEO_NEEDS_IMPROVEMENT,medium
https://uof.rt.gw/academics/business-humanities/business-partnerships/,/academics/business-humanities/business-partnerships/,0.580,SEO_LOW,high
https://uof.rt.gw/academics/business-humanities/communication/,/academics/business-humanities/communication/,,NOT_SCANNED,high
https://uof.rt.gw/academics/business-humanities/communication/journalism/,/academics/business-humanities/communication/journalism/,,NOT_SCANNED,high
https://uof.rt.gw/academics/business-humanities/communication/organizational-communication/,/academics/business-humanities/communication/organizational-communication/,,NOT_SCANNED,high
https://uof.rt.gw/academics/business-humanities/communication/public-relations/,/academics/business-humanities/communication/public-relations/,,NOT_SCANNED,high
https://uof.rt.gw/academics/business-humanities/dana-scholars/,/academics/business-humanities/dana-scholars/,0.580,SEO_LOW,high
https://uof.rt.gw/academics/business-humanities/english/,/academics/business-humanities/english/,0.660,SEO_NEEDS_IMPROVEMENT,medium
https://uof.rt.gw/academics/business-humanities/english/english/,/academics/business-humanities/english/english/,0.660,SEO_NEEDS_IMPROVEMENT,medium
https://uof.rt.gw/academics/business-humanities/finance/,/academics/business-humanities/finance/,0.660,SEO_NEEDS_IMPROVEMENT,medium
https://uof.rt.gw/academics/business-humanities/history-law/,/academics/business-humanities/history-law/,,NOT_SCANNED,high
https://uof.rt.gw/academics/business-humanities/history-law/history/,/academics/business-humanities/history-law/history/,,NOT_SCANNED,high
https://uof.rt.gw/academics/business-humanities/history-law/pre-law/,/academics/business-humanities/history-law/pre-law/,0.660,SEO_NEEDS_IMPROVEMENT,medium
https://uof.rt.gw/academics/business-humanities/innovative-competition/,/academics/business-humanities/innovative-competition/,0.660,SEO_NEEDS_IMPROVEMENT,medium
https://uof.rt.gw/academics/business-humanities/justice-sciences/,/academics/business-humanities/justice-sciences/,,NOT_SCANNED,high
https://uof.rt.gw/academics/business-humanities/justice-sciences/criminal-justice/,/academics/business-humanities/justice-sciences/criminal-justice/,0.660,SEO_NEEDS_IMPROVEMENT,medium
https://uof.rt.gw/academics/business-humanities/justice-sciences/forensic-science-biology/,/academics/business-humanities/justice-sciences/forensic-science-biology/,0.580,SEO_LOW,high
https://uof.rt.gw/academics/business-humanities/justice-sciences/forensic-science-chemistry/,/academics/business-humanities/justice-sciences/forensic-science-chemistry/,0.580,SEO_LOW,high
https://uof.rt.gw/academics/business-humanities/language-culture/,/academics/business-humanities/language-culture/,,NOT_SCANNED,high
https://uof.rt.gw/academics/business-humanities/language-culture/american-sign-language/,/academics/business-humanities/language-culture/american-sign-language/,0.580,SEO_LOW,high
https://uof.rt.gw/academics/business-humanities/language-culture/ielp/,/academics/business-humanities/language-culture/ielp/,,NOT_SCANNED,high
https://uof.rt.gw/academics/business-humanities/language-culture/intercultural-studies/,/academics/business-humanities/language-culture/intercultural-studies/,0.580,SEO_LOW,high
https://uof.rt.gw/academics/business-humanities/language-culture/international-studies/,/academics/business-humanities/language-culture/international-studies/,,NOT_SCANNED,high
https://uof.rt.gw/academics/business-humanities/language-culture/japanese/,/academics/business-humanities/language-culture/japanese/,0.660,SEO_NEEDS_IMPROVEMENT,medium
https://uof.rt.gw/academics/business-humanities/language-culture/spanish/,/academics/business-humanities/language-culture/spanish/,,NOT_SCANNED,high
https://uof.rt.gw/academics/business-humanities/language-culture/tesol-ma/,/academics/business-humanities/language-culture/tesol-ma/,0.660,SEO_NEEDS_IMPROVEMENT,medium
